,CODIGO,NOMBRE FANTASIA,COMUNA,ESTACIONAMIENTO,ES PAR
0,424,EL RINCON DEL GUSTO,RENCA,NO,SI
1,954,LUIS ARAYA CARVAJAL,ESTACION CENTRAL,NO,SI
2,1224,MARION,LA PINTANA,NO,SI
3,3316,NISSY,HUECHURABA,NO,SI
4,9878,ERICHOPER,RENCA,NO,SI
5,10347,DON ORLANDO,PEÑALOLEN,NO,NO
6,10489,NOLBERTO VALDES NAVARRO,RECOLETA,NO,NO
7,10767,BAZAR LA KUKA,CERRO NAVIA,NO,NO
8,11267,DAVICITO,LA PINTANA,NO,NO
9,11377,ELSA ROSA REYES YANEZ,PUENTE ALTO,NO,NO
10,12214,ATEMIS COMPUTACION,LO ESPEJO,NO,SI
11,14629,ALMACEN GERUDA,QUILICURA,NO,NO
12,18696,CIBER JAVINET,SAN BERNARDO,NO,SI
13,22058,JUANA HUENUN,QUILICURA,NO,SI
14,25744,BAZAR ANGELES,PUENTE ALTO,NO,SI
15,50119,DON LUIS,QUINTA NORMAL,NO,NO
16,57920,EDGAR COSME PORTAL,LAS CONDES,NO,SI
17,59324,ELENA MINCHAN AMBROSIO,EL BOSQUE,NO,SI
18,61032,LA VALE,SAN RAMON,NO,SI
19,61067,MARIA TERESA,LO ESPEJO,NO,NO
20,62373,POMPEYITA,LA FLORIDA,NO,NO
21,62395,KIOSKO MARIAN,MAIPU,NO,NO
22,62613,OASIS,LA FLORIDA,NO,NO
23,62683,BAZAR MARY,PUENTE ALTO,NO,NO
24,63076,LOTO,PEÑALOLEN,NO,SI
25,63356,MIGUEL AGUILERA,SANTIAGO,NO,SI
26,63396,PUNTO ARAUCO,RECOLETA,NO,SI
27,63493,MONICA PILAR ESPINOZA MARTINEZ,PUENTE ALTO,NO,NO
28,63696,ELLEN MARLENE MOSCOSO GAS,EL BOSQUE,NO,SI
29,64030,GUILLERMINA ESTER,QUILICURA,NO,SI
30,64317,D LLA FRUIT,PUDAHUEL,NO,NO
31,65793,CAMILA,SAN MIGUEL,NO,NO
32,65966,MARKITO,SAN BERNARDO,NO,SI
33,66008,MINIMARKET ENRIQUE,SAN BERNARDO,NO,SI
34,66197,FERNANDA,HUECHURABA,NO,NO
